Unnamed: 0,player,team,position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,season,_oi,position_oi,GP_oi,TOI_oi,oi_CF,oi_CA,oi_CF%,oi_FF,oi_FA,oi_FF%,oi_SF,oi_SA,oi_SF%,oi_GF,oi_GA,oi_GF%,oi_xGF,oi_xGA,oi_xGF%,oi_SCF,oi_SCA,oi_SCF%,oi_HDCF,oi_HDCA,oi_HDCF%,oi_HDGF,oi_HDGA,oi_HDGF%,oi_MDCF,oi_MDCA,oi_MDCF%,oi_MDGF,oi_MDGA,oi_MDGF%,oi_LDCF,oi_LDCA,oi_LDCF%,oi_LDGF,oi_LDGA,oi_LDGF%,oi_On-Ice SH%,oi_On-Ice SV%,oi_PDO,oi_Off. Zone Starts,oi_Neu. Zone Starts,oi_Def. Zone Starts,oi_On The Fly Starts,oi_Off. Zone Start %,oi_Off. Zone Faceoffs,oi_Neu. Zone Faceoffs,oi_Def. Zone Faceoffs,oi_Off. Zone Faceoff %,player_key,team_clean,pk_blocks,pk_takeaways,pk_giveaways,pk_hits,pk_faceoff_wins,pk_faceoff_losses,pk_penalties_taken,pk_faceoff_pct,pk_blocks_per60,pk_takeaways_per60,pk_giveaways_per60,pk_hits_per60,pk_penalties_taken_per60,pk_ta_ga_ratio,pk_fo_pct,xga_per60,ga_per60,hdca_per60,sa_per60,sca_per60,ca_per60,block_rate,sh_goals_per60,ixg_per60,ihdcf_per60,dz_start_pct,toi_pg,sv_pct,pdo,hdca_pct_of_sa,is_defense,is_center,individual_pk_score,expected_xga,expected_ga,ind_contribution_xga,ind_contribution_ga,raw_xPKS,raw_PKS,xPKS,PKS
152,Jacob Trouba,ANA,D,81,241.78333333333,0,1,0,1,1,33.33,4,0.00,0.04,4,4,0,0,1,0,2,1,1,0,0,1,8,2,13,0,15,0,0,,20252026,152,D,81,241.78333333333,74,443,14.31,65,337,16.17,55,222,19.86,3,38,7.32,5.23,38.8,11.88,38,262,12.67,19,129,12.84,2,21,8.7,19,133,12.5,1,10,9.09,21,346,5.72,0,7,0.00,5.45,82.88,0.883,3,28,174,83,1.69,13,42,277,4.48,jacob trouba,ANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.628455228510507,9.429930378438126,32.01213207417153,55.09064589508589,65.01688839870496,109.9331357275813,0.0,0.0,0.009926242503619,0.0,98.31,2.984979423868272,82.88,0.883,0.581081081081081,1,0,0.0,8.287944858065043,9.59390779317625,-0.026131527,-0.032835588,-8.261813330566678,-9.561072205317096,5.3,2.2
14,Alex Killorn,ANA,L,82,186.83333333333,0,1,1,0,1,100.00,16,0.00,1.18,18,17,7,3,0,0,2,1,1,0,0,1,7,2,3,4,7,2,15,11.76,20252026,14,L,82,186.83333333333,54,328,14.14,44,253,14.81,35,166,17.41,1,30,3.23,2.86,28.33,9.17,21,184,10.24,10,96,9.43,1,13,7.14,11,88,11.11,0,9,0.00,21,262,7.42,0,8,0.00,2.86,81.93,0.848,5,24,164,113,2.96,10,35,203,4.69,alex killorn,ANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.097948260481877,9.634255129348968,30.8296164139167,53.30954504906429,59.09009812667368,105.33452274754872,0.0,0.0,0.3789473684210593,0.9634255129348968,97.04,2.2784552845528045,81.93,0.848,0.5783132530120482,0,0,0.0,7.92965869897392,9.77010542608081,-0.04945372,-0.105504245,-7.880204978523519,-9.664601181514847,7.8,1.9
419,Ryan Poehling,ANA,C,75,178.1,2,2,2,0,4,100.00,10,20.00,1.18,20,14,10,6,1,3,2,1,1,0,0,2,9,4,0,2,24,88,128,40.74,20252026,419,C,75,178.1,58,331,14.91,47,248,15.93,38,165,18.72,4,27,12.9,4.32,28.34,13.23,33,183,15.28,18,98,15.52,4,13,23.53,15,85,15.0,0,8,0.00,15,256,5.54,0,6,0.00,10.53,83.64,0.942,2,24,148,98,1.33,7,32,189,3.57,ryan poehling,ANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.547445255474454,9.09601347557552,33.01516002245929,55.58674901740595,61.650758001122966,111.5103874227962,0.0,0.673778775968557,0.3975294778214486,2.0213363279056717,98.67,2.3746666666666667,83.64,0.942,0.593939393939394,0,1,2.695115103874228,8.3919142246748,9.296465480116261,0.040980246,0.4556149,-8.432894470592835,-9.752080374744786,4.3,1.6
711,Pavel Mintyukov,ANA,D,73,160.15,0,1,0,1,1,33.33,5,0.00,0.49,8,6,4,1,0,1,0,0,0,0,0,2,4,3,3,1,24,0,0,,20252026,711,D,73,160.15,39,278,12.3,32,211,13.17,26,134,16.25,3,21,12.5,1.89,24.12,7.27,17,161,9.55,6,82,6.82,3,11,21.43,11,79,12.22,0,6,0.00,11,196,5.31,0,4,0.00,11.54,84.33,0.959,2,16,94,105,2.08,5,27,153,3.16,pavel mintyukov,ANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.036528254761162,7.867624102403996,30.7211988760537,50.20293474867312,60.31845145176396,104.15235716515768,0.0,0.0,0.1835778957227599,0.3746487667811427,97.92,2.1938356164383563,84.33,0.959,0.6119402985074627,1,0,0.0,7.849887241171592,8.490979691425615,-0.055396907,-0.08490525,-7.794490334140056,-8.406074439564996,8.3,6.1
31,John Carlson,"ANA, WSH",D,71,156.91666666667,0,0,0,0,0,-,6,0.00,0.38,8,8,3,3,1,0,4,2,2,0,0,1,5,0,0,0,15,0,0,,20252026,31,D,71,156.91666666667,31,300,9.37,26,227,10.28,17,141,10.76,0,24,0.0,1.58,25.04,5.95,15,156,8.77,6,62,8.82,0,11,0.0,9,94,8.74,0,5,0.00,6,235,2.49,0,8,0.00,0.0,82.98,0.83,2,17,78,66,2.5,8,28,145,5.23,john carlson,ANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.574508762612648,9.176845459373144,23.706850770047293,53.913967073817226,59.64949548592544,114.7105682421643,0.0,0.0,0.1453000531067414,1.147105682421643,97.5,2.210093896713662,82.98,0.83,0.4397163120567376,1,0,0.0,8.527239247114926,9.82643622349405,0.0667896,-0.12813726,-8.594028844387799,-9.698298962818619,3.3,1.8
549,Jackson LaCombe,ANA,D,82,130.21666666667,1,1,0,1,2,200.00,5,20.00,1.35,9,7,7,6,0,2,0,0,0,0,0,1,5,3,6,3,15,0,0,,20252026,549,D,82,130.21666666667,46,230,16.67,40,178,18.35,36,120,23.08,1,26,3.7,3.74,20.15,15.66,24,144,14.29,14,67,17.28,1,15,6.25,10,77,11.49,0,5,0.00,14,181,7.18,0,6,0.00,2.78,78.33,0.811,1,14,85,67,1.16,7,21,139,4.79,jackson lacombe,ANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.28452579034918,11.98003327786991,30.871624216049387,55.29246128247651,66.35095353897182,105.97721745807998,0.0,0.4607705106873042,0.6220401894278608,2.7646230641238256,98.84,1.5880081300813411,78.33,0.811,0.5583333333333333,1,0,1.843082042749217,7.869470525124466,11.52029000413533,-0.2517372,-0.1671683,-7.617733317950165,-11.35312169981118,9.4,-3.8
88,Mikael Granlund,ANA,C,58,96.65,0,0,0,0,0,0.00,2,0.00,0.17,3,3,1,1,0,0,0,0,0,0,0,0,2,3,2,1,4,14,37,27.45,20252026,88,C,58,96.65,23,150,13.29,21,112,15.79,20,80,20.0,1,13,7.14,1.64,11.82,12.19,9,86,9.47,8,33,19.51,1,5,16.67,1,53,1.85,0,4,0.00,6,111,5.13,0,4,0.00,5.0,83.75,0.888,4,11,56,85,6.67,7,15,75,8.54,mikael granlund,ANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.33781686497672,8.070356958096223,20.48629073978272,49.66373512674599,53.38851526125193,93.11950336264871,0.0,0.0,0.1055354371443352,0.6207966890843248,93.33,1.6663793103448277,83.75,0.888,0.4125,0,1,0.0,6.9853382842265965,8.012850065442052,0.075290404,-0.10618566,-7.060628688486755,-7.906664405675855,12.2,7.7
531,Drew Helleson,ANA,D,60,88.566666666667,0,2,1,1,2,66.67,1,0.00,0.02,2,2,0,0,0,0,0,0,0,0,0,1,2,0,6,1,9,0,0,,20252026,531,D,60,88.566666666667,19,124,13.29,16,95,14.41,14,64,17.95,3,8,27.27,0.99,8.9,10.05,7,68,9.33,4,23,14.81,3,3,50.0,3,45,6.25,0,2,0.00,9,84,9.68,0,3,0.00,21.43,87.5,1.089,3,6,35,93,7.89,3,10,43,6.52,drew helleson,ANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.029356417011645,5.419646217538557,15.58148287542335,43.35716974030846,46.066992849077735,84.00451637184763,0.0,0.0,0.0135491155438463,0.0,92.11,1.4761111111111167,87.5,1.089,0.359375,1,0,0.0,6.425297483068266,5.611083451204941,-0.026131527,-0.032835588,-6.399165955569901,-5.578247863345787,15.3,14.2
64,Radko Gudas,ANA,D,56,85.416666666667,0,0,0,0,0,0.00,2,0.00,0.0,2,2,0,0,1,0,0,0,0,0,0,1,4,0,8,0,11,0,0,,20252026,64,D,56,85.416666666667,21,123,14.58,18,88,16.98,15,59,20.27,2,10,16.67,1.5,8.6,14.89,9,69,11.54,7,24,22.58,2,4,33.33,2,45,4.26,0,3,0.00,6,78,7.14,0,3,0.00,13.33,83.05,0.964,1,7,23,85,4.17,3,11,40,6.98,radko gudas,ANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.040975609756074,7.024390243902412,16.85853658536579,41.44390243902423,48.46829268292664,86.39999999999966,0.0,0.0,0.0,0.0,95.83,1.525297619047625,83.05,0.964,0.4067796610169492,1,0,0.0,6.539014414085644,7.9420241072044035,-0.026131527,-0.032835588,-6.512882886587279,-7.90918851934525,14.8,7.7
820,Tim Washe,ANA,C,39,73.866666666667,0,0,0,0,0,-,2,0.00,0.17,2,2,1,1,0,1,0,0,0,0,0,0,0,2,5,0,6,23,29,44.23,20252026,820,C,39,73.866666666667,11,109,9.17,9,83,9.78,9,51,15.0,0,9,0.0,0.76,8.32,8.39,4,62,6.06,3,22,12.0,0,2,0.0,1,40,2.44,0,4,0.00,3,72,4.0,0,3,0.00,0.0,82.35,0.824,2,7,36,67,5.26,3,10,46,6.12,tim washe,ANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75812274368228,7.310469314079389,17.87003610108295,41.4259927797832,50.36101083032468,88.53790613718371,0.0,0.0,0.1380866425992773,0.8122743682310433,94.74,1.8940170940171024,82.35,0.824,0.4313725490196078,0,1,0.0,6.638286193257883,8.40273009007332,0.13006884,-0.10211797,-6.768355031854227,-8.300612119487496,13.6,6.4
