player,team,pk_blocks,pk_takeaways,pk_giveaways,pk_hits,pk_faceoff_wins,pk_faceoff_losses,pk_penalties_taken,pk_faceoff_pct,season
Dylan Strome,WSH,0,0,0,1,28,20,0,58.333333333333336,20252026
Connor McMichael,WSH,0,0,0,0,9,7,0,56.25,20252026
Elias Lindholm,BOS,2,2,6,5,117,69,2,62.903225806451616,20252026
Charlie McAvoy,BOS,4,4,2,2,0,0,6,,20252026
John Carlson,WSH,1,0,0,0,0,0,0,,20252026
Rasmus Sandin,WSH,0,2,0,0,0,0,0,,20252026
Tom Wilson,WSH,0,0,2,1,1,2,0,33.33333333333333,20252026
Morgan Geekie,BOS,6,3,7,6,17,18,3,48.57142857142857,20252026
Frank Nazar,CHI,4,0,3,0,10,9,1,52.63157894736842,20252026
Connor Bedard,CHI,1,0,3,0,6,1,0,85.71428571428571,20252026
Colton Dach,CHI,1,0,0,0,1,0,0,100.0,20252026
Nick Foligno,CHI,0,0,0,0,1,2,0,33.33333333333333,20252026
Pavel Zacha,BOS,4,1,8,6,68,54,1,55.73770491803278,20252026
Casey Mittelstadt,BOS,0,1,9,1,17,14,2,54.83870967741935,20252026
Tyler Bertuzzi,CHI,1,0,1,2,0,1,0,0.0,20252026
Artyom Levshunov,CHI,0,0,0,0,0,0,1,,20252026
Henri Jokiharju,BOS,0,0,1,0,0,0,0,,20252026
Vincent Trocheck,NYR,1,1,0,0,16,10,0,61.53846153846154,20252026
Alexis Lafrenière,NYR,0,1,1,1,0,1,0,0.0,20252026
Josh Norris,BUF,0,2,6,1,56,55,3,50.45045045045045,20252026
Tage Thompson,BUF,1,5,10,0,51,52,1,49.51456310679612,20252026
Ryan McLeod,BUF,1,0,7,0,47,52,2,47.474747474747474,20252026
Bowen Byram,BUF,6,2,5,3,0,0,1,,20252026
J.T. Miller,NYR,1,0,3,0,23,7,0,76.66666666666667,20252026
Adam Fox,NYR,1,0,0,0,0,0,0,,20252026
Will Cuylle,NYR,2,0,0,0,3,2,0,60.0,20252026
Rasmus Dahlin,BUF,6,6,10,5,0,0,1,,20252026
Jack Quinn,BUF,1,2,7,0,0,2,0,0.0,20252026
Mika Zibanejad,NYR,0,2,2,0,1,1,0,50.0,20252026
Logan Stankoven,CAR,1,1,6,0,40,55,0,42.10526315789473,20252026
K'Andre Miller,CAR,0,1,4,1,0,0,2,,20252026
Nico Hischier,NJD,1,0,0,1,27,16,0,62.7906976744186,20252026
Sebastian Aho,CAR,2,1,19,3,84,72,1,53.84615384615385,20252026
Timo Meier,NJD,0,0,0,2,6,0,0,100.0,20252026
Ondrej Palat,NJD,0,0,0,2,0,0,0,,20252026
Jordan Staal,CAR,1,0,0,1,117,58,0,66.85714285714286,20252026
Seth Jarvis,CAR,3,3,4,4,3,4,2,42.857142857142854,20252026
Jack Hughes,NJD,0,0,4,0,0,0,0,,20252026
Chandler Stephenson,SEA,0,0,0,0,21,9,0,70.0,20252026
Matty Beniers,SEA,3,2,2,1,6,1,1,85.71428571428571,20252026
Shane Wright,SEA,0,0,0,0,5,3,0,62.5,20252026
Brandon Montour,SEA,1,0,2,1,0,0,1,,20252026
Mikael Granlund,ANA,0,1,7,1,80,61,3,56.73758865248227,20252026
Alex Killorn,ANA,0,1,5,0,6,2,2,75.0,20252026
Mason Marchment,SEA,0,0,1,0,0,0,0,,20252026
Mason McTavish,ANA,3,1,8,7,63,47,2,57.27272727272727,20252026
David Pastrnak,BOS,2,3,19,3,0,0,2,,20252026
Jiri Kulich,BUF,2,0,1,0,5,10,0,33.33333333333333,20252026
Tyson Kozak,BUF,0,0,0,0,3,3,0,50.0,20252026
Viktor Arvidsson,BOS,1,1,6,0,4,2,4,66.66666666666666,20252026
Owen Power,BUF,1,0,2,0,0,0,0,,20252026
Jackson Blake,CAR,1,3,11,0,0,0,1,,20252026
Trevor Zegras,PHI,0,0,2,1,8,9,0,47.05882352941176,20252026
Travis Konecny,PHI,1,0,3,0,0,3,0,0.0,20252026
Frederik Andersen,CAR,0,0,2,0,0,0,0,,20252026
Jamie Drysdale,PHI,2,0,1,0,0,0,1,,20252026
Sean Couturier,PHI,1,0,2,0,10,2,0,83.33333333333334,20252026
Macklin Celebrini,SJS,1,0,1,0,8,7,0,53.333333333333336,20252026
William Eklund,SJS,1,0,1,0,0,0,1,,20252026
Alexander Wennberg,SJS,1,0,1,0,17,14,0,54.83870967741935,20252026
Adam Gaudette,SJS,0,0,0,0,1,2,0,33.33333333333333,20252026
Will Smith,SJS,0,0,1,0,0,1,1,0.0,20252026
Philipp Kurashev,SJS,0,0,1,0,0,1,0,0.0,20252026
Justin Danforth,BUF,0,0,0,0,1,0,0,100.0,20252026
Brock Nelson,COL,0,0,1,1,17,8,0,68.0,20252026
Nathan MacKinnon,COL,0,0,2,0,23,12,2,65.71428571428571,20252026
Gabriel Landeskog,COL,0,0,1,0,5,3,0,62.5,20252026
Gage Goncalves,TBL,0,0,1,0,0,0,0,,20252026
Brayden Point,TBL,0,0,1,1,7,11,0,38.88888888888889,20252026
Taylor Hall,CAR,4,0,4,3,4,6,2,40.0,20252026
Sidney Crosby,PIT,1,0,1,0,19,10,0,65.51724137931035,20252026
Tommy Novak,PIT,0,0,1,0,4,5,0,44.44444444444444,20252026
Ben Kindel,PIT,1,0,0,1,4,3,0,57.14285714285714,20252026
Bryan Rust,PIT,0,0,3,1,0,0,0,,20252026
Kris Letang,PIT,1,0,1,2,0,0,1,,20252026
Leo Carlsson,ANA,2,4,15,1,43,46,5,48.31460674157304,20252026
Josh Doan,BUF,2,1,12,2,1,1,1,50.0,20252026
Tim Stützle,OTT,0,1,3,0,5,1,0,83.33333333333334,20252026
Ridly Greig,OTT,4,1,1,2,3,0,0,100.0,20252026
Dylan Cozens,OTT,0,0,1,1,12,4,0,75.0,20252026
Claude Giroux,OTT,1,1,2,0,17,4,0,80.95238095238095,20252026
Lars Eller,OTT,0,0,0,0,4,1,0,80.0,20252026
Zach Benson,BUF,2,0,2,0,2,3,0,40.0,20252026
Jake Sanderson,OTT,2,0,0,0,0,0,0,,20252026
Tomas Hertl,VGK,0,0,1,1,24,18,1,57.14285714285714,20252026
Jack Eichel,VGK,0,1,1,0,9,5,1,64.28571428571429,20252026
William Karlsson,VGK,0,0,0,0,2,1,0,66.66666666666666,20252026
Mitch Marner,VGK,1,0,2,0,0,0,0,,20252026
Shayne Gostisbehere,CAR,7,4,14,0,0,0,0,,20252026
Andrei Svechnikov,CAR,3,0,11,2,1,2,1,33.33333333333333,20252026
Ryan Poehling,ANA,2,0,2,0,12,11,0,52.17391304347826,20252026
Anton Lundell,FLA,0,0,1,0,20,13,2,60.60606060606061,20252026
Sam Bennett,FLA,0,0,0,0,16,5,0,76.19047619047619,20252026
Carter Verhaeghe,FLA,1,2,2,0,1,6,1,14.285714285714285,20252026
Sam Reinhart,FLA,1,0,3,0,4,5,0,44.44444444444444,20252026
Evan Rodrigues,FLA,0,0,0,0,8,9,0,47.05882352941176,20252026
Jason Zucker,BUF,2,0,7,0,30,58,1,34.090909090909086,20252026
Aaron Ekblad,FLA,1,0,0,1,0,0,0,,20252026
Seth Jones,FLA,0,0,2,0,0,0,0,,20252026
Victor Olofsson,COL,0,0,1,0,0,0,0,,20252026
Martin Necas,COL,0,1,4,1,0,0,1,,20252026
Nikolaj Ehlers,CAR,2,2,13,2,6,6,1,50.0,20252026
Quinton Byfield,LAK,1,0,2,0,7,5,0,58.333333333333336,20252026
Jackson LaCombe,ANA,8,7,10,2,0,0,1,,20252026
Ryan Donato,CHI,0,0,0,0,0,0,1,,20252026
Logan Cooley,UTA,0,0,0,0,8,16,0,33.33333333333333,20252026
Nick Schmaltz,UTA,0,0,1,0,5,4,0,55.55555555555556,20252026
JJ Peterka,UTA,0,0,2,0,0,0,0,,20252026
Mikhail Sergachev,UTA,1,1,3,1,0,0,0,,20252026
Barrett Hayton,UTA,0,0,0,0,7,6,0,53.84615384615385,20252026
Lawson Crouse,UTA,0,0,1,0,1,2,0,33.33333333333333,20252026
Jordan Harris,BOS,1,0,0,0,0,0,0,,20252026
Nick Suzuki,MTL,0,0,0,0,37,26,0,58.730158730158735,20252026
Brad Marchand,FLA,1,0,0,0,0,0,1,,20252026
Michael Eyssimont,BOS,2,0,1,2,0,0,1,,20252026
Mark Kastelic,BOS,0,0,0,0,5,1,0,83.33333333333334,20252026
