player,team,season,TOI,position,xPKS,PKS,Rank
Zachary L'Heureux,NSH,20242025,37.7,L,20.0,18.5,1
Marc Del Gaizo,NSH,20242025,38.05,D,20.0,20.0,2
Egor Zamula,PHI,20242025,39.216666666667,D,20.0,3.1,3
Jake Guentzel,T.B,20242025,39.366666666667,C,20.0,20.0,4
Calvin de Haan,"COL, NYR",20242025,42.716666666667,D,20.0,15.1,5
Troy Stecher,EDM,20242025,45.366666666667,D,20.0,15.4,6
Kasperi Kapanen,"EDM, STL",20242025,46.066666666667,R,20.0,16.8,7
Rasmus Sandin,WSH,20242025,49.333333333333,D,20.0,7.0,8
Nate Schmidt,FLA,20242025,54.733333333333,D,20.0,20.0,9
Erik Johnson,"COL, PHI",20242025,57.95,D,20.0,10.7,10
Justin Barron,"MTL, NSH",20242025,58.666666666667,D,20.0,14.4,11
Jordan Spence,L.A,20242025,48.616666666667,D,20.0,15.3,12
Thomas Harley,DAL,20242025,114.95,D,20.0,15.0,13
Zach Benson,BUF,20242025,66.95,L,20.0,11.8,14
Niko Mikkola,FLA,20242025,134.78333333333,D,20.0,15.7,15
Jonas Siegenthaler,N.J,20242025,106.1,D,20.0,20.0,16
Adam Wilsby,NSH,20242025,32.983333333333,D,20.0,-14.3,17
Miro Heiskanen,DAL,20242025,34.766666666667,D,20.0,20.0,18
Leo Carlsson,ANA,20242025,36.2,C,20.0,14.5,19
Fedor Svechkov,NSH,20242025,32.716666666667,C,20.0,10.9,20
Brad Marchand,"BOS, FLA",20242025,91.633333333333,L,20.0,12.1,21
Sean Couturier,PHI,20242025,37.35,C,19.9,20.0,22
Vasily Podkolzin,EDM,20242025,59.466666666667,R,19.9,17.0,23
Brett Kulak,EDM,20242025,135.8,D,19.0,12.1,24
Jesper Boqvist,FLA,20242025,93.366666666667,C,18.2,17.2,25
Oliver Ekman-Larsson,TOR,20242025,82.333333333333,D,17.9,13.7,26
Trevor van Riemsdyk,WSH,20242025,126.93333333333,D,17.4,16.0,27
Jaccob Slavin,CAR,20242025,221.23333333333,D,17.3,17.3,28
Nick Paul,T.B,20242025,46.866666666667,L,17.3,20.0,29
Matt Grzelcyk,PIT,20242025,48.433333333333,D,17.1,6.0,30
Matt Roy,WSH,20242025,116.0,D,17.1,18.0,31
Vincent Desharnais,"PIT, S.J, VAN",20242025,73.716666666667,D,16.7,9.0,32
Joel Farabee,"CGY, PHI",20242025,36.2,L,16.7,-2.7,33
Eeli Tolvanen,SEA,20242025,42.4,R,16.3,-6.0,34
Connor Brown,EDM,20242025,128.85,R,16.2,2.9,35
Stefan Noesen,N.J,20242025,38.5,R,16.0,20.0,36
Erik Haula,N.J,20242025,101.35,L,15.9,17.3,37
Rasmus Ristolainen,PHI,20242025,111.13333333333,D,15.0,11.8,38
Warren Foegele,L.A,20242025,123.55,L,14.7,10.1,39
Kaiden Guhle,MTL,20242025,113.31666666667,D,13.9,20.0,40
Tomas Nosek,FLA,20242025,59.983333333333,L,13.6,20.0,41
Beck Malenstyn,BUF,20242025,109.35,L,13.4,7.1,42
Uvis Balinskis,FLA,20242025,30.683333333333,D,13.4,20.0,43
Mavrik Bourque,DAL,20242025,46.6,C,13.3,8.1,44
Brent Burns,CAR,20242025,184.8,D,13.2,20.0,45
Ilya Mikheyev,CHI,20242025,155.83333333333,R,13.1,7.7,46
Nathan Bastian,N.J,20242025,41.216666666667,R,12.8,4.0,47
Mathieu Joseph,STL,20242025,55.5,R,12.7,14.3,48
Luke Schenn,"NSH, WPG",20242025,95.133333333333,D,12.4,-1.3,49
Nick Seeler,PHI,20242025,116.1,D,12.3,1.8,50
Aliaksei Protas,WSH,20242025,117.61666666667,C,12.2,6.6,51
Sean Walker,CAR,20242025,64.2,D,11.9,20.0,52
Steven Lorentz,TOR,20242025,91.083333333333,C,11.5,5.2,53
Owen Power,BUF,20242025,110.6,D,11.4,12.2,54
Casey Cizikas,NYI,20242025,67.916666666667,C,10.8,-10.7,55
Jordan Martinook,CAR,20242025,168.06666666667,L,10.6,20.0,56
Joshua Mahura,SEA,20242025,37.733333333333,D,10.4,2.7,57
Matt Boldy,MIN,20242025,31.75,L,10.3,-20.0,58
Logan O'Connor,COL,20242025,150.96666666667,R,10.3,11.2,59
Connor Clifton,BUF,20242025,191.86666666667,D,10.0,5.5,60
Jared Spurgeon,MIN,20242025,55.966666666667,D,9.9,2.6,61
Drew Doughty,L.A,20242025,43.8,D,9.8,11.2,62
Tom Wilson,WSH,20242025,126.61666666667,R,9.8,14.0,63
Will Cuylle,NYR,20242025,88.366666666667,L,9.7,18.1,64
Mattias Janmark,EDM,20242025,125.2,C,9.7,12.7,65
Marat Khusnutdinov,"BOS, MIN",20242025,85.016666666667,C,9.5,4.9,66
MacKenzie Weegar,CGY,20242025,143.36666666667,D,9.4,15.9,67
Brandon Saad,"STL, VGK",20242025,42.333333333333,L,9.3,-10.4,68
Dmitry Kulikov,FLA,20242025,136.23333333333,D,9.3,12.8,69
Mark Jankowski,"CAR, NSH",20242025,103.45,"C, L",9.3,3.9,70
Philipp Kurashev,CHI,20242025,45.333333333333,C,9.1,11.3,71
Eetu Luostarinen,FLA,20242025,157.58333333333,C,9.0,13.3,72
Derek Forbort,VAN,20242025,113.95,D,8.8,16.9,73
Drew Helleson,ANA,20242025,54.583333333333,D,8.8,20.0,74
Brett Pesce,N.J,20242025,152.86666666667,D,8.7,18.3,75
Keegan Kolesar,VGK,20242025,40.1,R,8.4,20.0,76
Braden Schneider,NYR,20242025,137.2,D,8.3,18.1,77
Jack Hughes,N.J,20242025,51.2,C,8.2,20.0,78
Samuel Girard,COL,20242025,106.93333333333,D,8.2,-3.8,79
Joel Edmundson,L.A,20242025,145.51666666667,D,8.1,6.7,80
Dylan Samberg,WPG,20242025,143.76666666667,D,8.0,15.8,81
William Karlsson,VGK,20242025,71.683333333333,C,8.0,-1.5,82
Quinton Byfield,L.A,20242025,123.76666666667,R,7.9,13.3,83
Kyle Connor,WPG,20242025,64.916666666667,L,7.8,18.6,84
Eric Robinson,CAR,20242025,61.35,L,7.6,15.2,85
Brayden Pachal,CGY,20242025,92.216666666667,D,7.6,7.3,86
Sebastian Aho,CAR,20242025,129.85,C,7.6,15.4,87
Lars Eller,"PIT, WSH",20242025,76.9,C,7.5,5.1,88
Yegor Sharangovich,CGY,20242025,49.866666666667,C,7.5,-15.7,89
Mason Appleton,WPG,20242025,54.116666666667,C,7.4,18.7,90
Wyatt Kaiser,CHI,20242025,88.983333333333,D,7.4,14.3,91
Travis Konecny,PHI,20242025,98.25,R,7.3,6.5,92
K'Andre Miller,NYR,20242025,161.3,D,7.3,11.5,93
Jordan Staal,CAR,20242025,159.75,C,7.3,8.3,94
Jackson LaCombe,ANA,20242025,159.31666666667,D,7.2,-3.5,95
Joel Hanley,CGY,20242025,68.083333333333,D,7.0,15.7,96
Charlie McAvoy,BOS,20242025,81.8,D,7.0,1.3,97
Phillip Danault,L.A,20242025,140.9,C,7.0,10.4,98
Kent Johnson,CBJ,20242025,35.5,C,6.8,18.5,99
Ryan O'Reilly,NSH,20242025,64.35,C,6.8,16.1,100
Trevor Moore,L.A,20242025,126.28333333333,L,6.6,9.6,101
Zach Whitecloud,VGK,20242025,78.066666666667,D,6.4,9.3,102
Conor Garland,VAN,20242025,63.7,R,6.3,20.0,103
Gustav Nyquist,"MIN, NSH",20242025,101.43333333333,"C, R",6.0,14.3,104
Marcus Foligno,MIN,20242025,105.88333333333,L,5.9,-6.7,105
Artturi Lehkonen,COL,20242025,64.8,L,5.6,4.9,106
Tyson Foerster,PHI,20242025,75.0,R,5.5,-1.6,107
Trevor Lewis,L.A,20242025,32.566666666667,C,5.5,12.4,108
Erik Karlsson,PIT,20242025,63.516666666667,D,5.5,5.2,109
Matt Nieto,PIT,20242025,62.5,L,5.3,-3.2,110
Garnet Hathaway,PHI,20242025,91.583333333333,R,5.3,6.7,111
Nick Suzuki,MTL,20242025,51.833333333333,C,5.3,5.4,112
Barrett Hayton,UTA,20242025,68.916666666667,C,5.3,3.6,113
Reilly Smith,"NYR, VGK",20242025,131.0,R,5.2,10.8,114
Kiefer Sherwood,VAN,20242025,111.3,L,5.2,14.1,115
Seth Jones,"CHI, FLA",20242025,160.83333333333,D,5.1,-0.8,116
Connor McMichael,WSH,20242025,56.733333333333,C,5.0,15.2,117
Josh Manson,COL,20242025,67.8,D,4.8,7.1,118
Sam Carrick,NYR,20242025,91.833333333333,C,4.7,19.6,119
Michael McCarron,NSH,20242025,168.53333333333,"C, R",4.7,2.7,120
Zemgus Girgensons,T.B,20242025,124.78333333333,C,4.5,6.7,121
Brady Skjei,NSH,20242025,189.71666666667,D,4.4,-0.3,122
Luke Glendening,T.B,20242025,126.4,C,4.4,5.6,123
Anton Lundell,FLA,20242025,154.18333333333,C,4.2,10.6,124
Sam Steel,DAL,20242025,148.8,C,4.1,12.7,125
Ryan McLeod,BUF,20242025,178.33333333333,C,4.1,11.1,126
Alexey Toropchenko,STL,20242025,91.633333333333,R,4.0,-8.4,127
Marcus Pettersson,"PIT, VAN",20242025,191.7,D,4.0,-3.6,128
Seth Jarvis,CAR,20242025,133.21666666667,C,3.9,8.6,129
Philip Broberg,STL,20242025,91.883333333333,D,3.6,-3.5,130
Nolan Allan,CHI,20242025,42.683333333333,D,3.6,11.0,131
Drew O'Connor,"PIT, VAN",20242025,117.85,L,3.5,0.7,132
Noah Cates,PHI,20242025,111.53333333333,L,3.5,-0.4,133
Mikael Pyyhtia,CBJ,20242025,65.433333333333,L,3.2,1.4,134
Jakob Pelletier,"CGY, PHI",20242025,35.633333333333,L,3.2,20.0,135
Jon Merrill,MIN,20242025,56.066666666667,D,3.1,-2.0,136
Scott Laughton,"PHI, TOR",20242025,118.51666666667,C,3.1,-0.6,137
Nic Dowd,WSH,20242025,201.9,C,3.1,2.5,138
Jansen Harkins,ANA,20242025,95.35,C,2.8,5.1,139
Nikita Zadorov,BOS,20242025,164.36666666667,D,2.6,-2.8,140
Mathieu Olivier,CBJ,20242025,73.833333333333,R,2.6,20.0,141
Jonathan Huberdeau,CGY,20242025,101.83333333333,"C, L",2.5,9.2,142
Denton Mateychuk,CBJ,20242025,39.733333333333,D,2.4,3.3,143
A.J. Greer,FLA,20242025,39.666666666667,L,2.4,7.5,144
Mattias Samuelsson,BUF,20242025,163.2,D,2.4,-7.1,145
Yakov Trenin,MIN,20242025,90.183333333333,C,2.3,-9.4,146
Justin Faulk,STL,20242025,102.48333333333,D,2.3,-1.9,147
Jamie Benn,DAL,20242025,48.933333333333,L,2.2,12.7,148
Andrew Peeke,BOS,20242025,131.35,D,2.2,6.6,149
J.J. Moser,T.B,20242025,85.733333333333,D,2.1,0.0,150
Shakir Mukhamadullin,S.J,20242025,35.25,D,2.1,6.0,151
Darnell Nurse,EDM,20242025,125.61666666667,D,2.0,-20.0,152
Hampus Lindholm,BOS,20242025,53.733333333333,D,1.9,-20.0,153
Jesper Bratt,N.J,20242025,122.86666666667,L,1.9,19.7,154
Emil Lilleberg,T.B,20242025,58.433333333333,D,1.8,15.2,155
Conor Timmins,"PIT, TOR",20242025,112.96666666667,D,1.6,8.9,156
Ryan McDonagh,T.B,20242025,198.28333333333,D,1.6,7.6,157
Vladislav Gavrikov,L.A,20242025,254.68333333333,D,1.4,8.2,158
Brayden McNabb,VGK,20242025,153.11666666667,D,1.3,0.9,159
Lawson Crouse,UTA,20242025,58.683333333333,L,1.2,-3.0,160
Jeff Petry,DET,20242025,48.65,D,1.0,0.9,161
Matty Beniers,SEA,20242025,41.766666666667,C,1.0,9.2,162
Pavel Zacha,BOS,20242025,138.58333333333,C,0.9,4.2,163
Roope Hintz,DAL,20242025,89.8,C,0.6,4.3,164
Nick Blankenburg,NSH,20242025,137.73333333333,D,0.6,-9.2,165
Jalen Chatfield,CAR,20242025,138.28333333333,D,0.6,15.6,166
Michael Amadio,OTT,20242025,31.55,R,0.5,5.3,167
Valeri Nichushkin,COL,20242025,54.2,R,0.5,-0.2,168
Zach Bogosian,MIN,20242025,139.1,D,0.4,-16.0,169
Logan Stanley,WPG,20242025,75.583333333333,D,0.4,-20.0,170
Sean Monahan,CBJ,20242025,80.366666666667,C,0.3,6.3,171
Jacob Trouba,"ANA, NYR",20242025,183.1,D,0.3,4.1,172
Jacob Bryson,BUF,20242025,44.633333333333,D,0.1,20.0,173
Andrew Copp,DET,20242025,56.9,C,0.1,-20.0,174
Josh Morrissey,WPG,20242025,59.483333333333,D,-0.0,7.6,175
Kevin Rooney,CGY,20242025,127.73333333333,C,-0.2,0.1,176
Olli Maatta,"DET, UTA",20242025,126.93333333333,D,-0.4,7.6,177
Bowen Byram,BUF,20242025,144.3,D,-0.5,8.2,178
Erik Cernak,T.B,20242025,169.65,D,-0.5,5.9,179
David Kampf,TOR,20242025,116.53333333333,C,-0.6,4.2,180
Wyatt Johnston,DAL,20242025,117.65,C,-0.6,1.2,181
