player,team,season,TOI,position,xPKS,PKS,xga_per60,ga_per60,pk_blocks_per60,pk_takeaways_per60,pk_giveaways_per60,sh_goals_per60,Rank,gap
Eric Robinson,CAR,20242025,61.35,L,20.0,15.8,6.54278728606357,5.867970660146699,0.0,0.0,0.0,0.0,1,-4.199999999999999
Quinton Byfield,L.A,20242025,123.76666666667,R,20.0,20.0,6.641529760301464,3.8782655534607087,0.0,0.0,0.0,0.4847831941825886,2,0.0
Warren Foegele,L.A,20242025,123.55,L,20.0,9.6,5.482800485633346,6.313233508700932,0.0,0.0,0.0,0.0,3,-10.4
Connor Brown,EDM,20242025,128.85,R,20.0,4.4,6.169965075669383,8.847497089639116,0.0,0.0,0.0,0.4656577415599534,4,-15.6
Sean Walker,CAR,20242025,64.2,D,20.0,20.0,6.121495327102804,3.7383177570093458,0.0,0.0,1.8691588785046729,0.0,5,0.0
K'Andre Miller,NYR,20242025,161.3,D,20.0,13.8,6.420334779913206,6.323620582765034,0.7439553626782393,0.3719776813391196,0.0,0.0,6,-6.199999999999999
Brad Marchand,"BOS, FLA",20242025,91.633333333333,L,20.0,14.6,4.917424518006566,4.583484903601327,4.583484903601327,1.3095671153146646,11.786104037831985,0.0,7,-5.4
Jonas Siegenthaler,N.J,20242025,106.1,D,20.0,16.2,5.3327049952874646,3.393025447690858,0.0,0.0,0.0,0.0,8,-3.8000000000000007
Thomas Harley,DAL,20242025,114.95,D,20.0,20.0,5.9869508481948674,3.6537625054371454,0.5219660722053067,0.5219660722053067,0.0,0.0,9,0.0
Luke Schenn,"NSH, WPG",20242025,95.133333333333,D,19.9,8.6,5.846531184302753,6.937631394534012,0.0,0.0,0.0,0.0,10,-11.299999999999999
Erik Haula,N.J,20242025,101.35,L,19.8,20.0,5.547113961519487,1.7760236803157374,0.0,0.0,0.0,0.0,11,0.1999999999999993
Jalen Chatfield,CAR,20242025,138.28333333333,D,19.7,18.9,8.161504158129642,4.77280944919862,0.0,0.0,0.0,0.0,12,-0.8000000000000007
Zach Benson,BUF,20242025,66.95,L,19.6,11.3,5.798356982823002,6.273338312173264,5.37714712471994,0.8961911874533234,2.68857356235997,0.0,13,-8.3
Sam Steel,DAL,20242025,148.8,C,18.8,16.2,7.249999999999999,5.241935483870967,0.0,0.0,0.0,0.4032258064516129,14,-2.6000000000000014
Ilya Mikheyev,CHI,20242025,155.83333333333,R,18.7,12.1,5.902459893048254,6.545454545454686,0.0,0.0,0.0,1.155080213903768,15,-6.6
Oliver Ekman-Larsson,TOR,20242025,82.333333333333,D,18.5,7.6,5.50931174089071,8.016194331983838,0.7287449392712579,0.0,0.7287449392712579,0.0,16,-10.9
Barrett Hayton,UTA,20242025,68.916666666667,C,18.4,14.4,7.0084643288996045,6.094316807738786,0.8706166868198265,0.0,0.0,0.0,17,-3.9999999999999982
Seth Jarvis,CAR,20242025,133.21666666667,C,18.3,17.8,7.404478919053989,4.954335043162644,3.1527586638307734,3.603152758663741,0.9007881896659352,2.251970474164838,18,-0.5
Jaccob Slavin,CAR,20242025,221.23333333333,D,18.3,14.8,6.376073527196119,4.881723670333055,0.2712068705740586,0.5424137411481172,0.0,0.0,19,-3.5
Sebastian Aho,CAR,20242025,129.85,C,18.1,18.9,7.35618020793223,4.620716211012708,0.9241432422025416,0.0,9.241432422025415,1.386214863303812,20,0.7999999999999972
Mark Jankowski,"CAR, NSH",20242025,103.45,"C, L",18.1,10.6,6.403093281778636,5.219913001449975,0.0,0.0,0.0,0.0,21,-7.500000000000002
Brady Skjei,NSH,20242025,189.71666666667,D,18.1,11.0,6.84389001142042,6.957744004216693,0.0,0.0,0.3162610911007587,0.0,22,-7.100000000000001
Niko Mikkola,FLA,20242025,134.78333333333,D,18.0,6.1,5.591195746259567,7.567701248918203,0.0,0.0,0.0,0.0,23,-11.9
Phillip Danault,L.A,20242025,140.9,C,17.9,16.1,6.613200851667848,5.11000709723208,0.0,0.4258339247693399,0.4258339247693399,0.0,24,-1.7999999999999972
Dmitry Orlov,CAR,20242025,148.43333333333,D,17.7,14.9,8.407814956209487,6.467549966314989,0.0,0.0,0.0,0.0,25,-2.799999999999999
Beck Malenstyn,BUF,20242025,109.35,L,17.6,11.3,6.063100137174212,6.584362139917696,0.0,0.0,0.0,0.0,26,-6.300000000000001
Jordan Staal,CAR,20242025,159.75,C,17.4,14.6,7.323943661971831,5.258215962441315,0.3755868544600939,0.0,0.0,0.7511737089201878,27,-2.799999999999999
Tyson Foerster,PHI,20242025,75.0,R,17.4,7.7,7.223999999999999,8.0,0.0,0.8,0.0,0.0,28,-9.7
Trevor van Riemsdyk,WSH,20242025,126.93333333333,D,17.3,18.5,5.875525210084188,3.781512605042116,0.0,0.0,0.0,0.0,29,1.1999999999999993
Will Cuylle,NYR,20242025,88.366666666667,L,17.0,14.8,6.932478310071645,5.431912485854374,0.0,0.0,0.0,1.3579781214635935,30,-2.1999999999999993
Trevor Moore,L.A,20242025,126.28333333333,L,16.9,14.0,6.5091724957108745,5.701464959746752,0.0,0.4751220799788959,0.4751220799788959,0.4751220799788959,31,-2.8999999999999986
Braden Schneider,NYR,20242025,137.2,D,16.5,16.2,6.966472303206997,5.247813411078718,0.0,0.0,0.0,0.4373177842565598,32,-0.3000000000000007
Nick Blankenburg,NSH,20242025,137.73333333333,D,16.5,7.9,7.035333978702977,8.712487899322573,0.0,0.8712487899322573,0.0,0.0,33,-8.6
Jordan Martinook,CAR,20242025,168.06666666667,L,16.5,18.4,7.193573978579786,3.570011900039596,0.3570011900039596,0.0,0.0,0.0,34,1.8999999999999986
Conor Garland,VAN,20242025,63.7,R,16.4,8.1,6.885400313971742,7.535321821036106,0.0,0.0,2.82574568288854,0.0,35,-8.299999999999999
Adrian Kempe,L.A,20242025,113.93333333333,R,16.3,12.0,6.909303686366498,6.846108835576561,0.0,0.0,0.5266237565828124,0.0,36,-4.300000000000001
Ryan O'Reilly,NSH,20242025,64.35,C,16.3,15.1,6.517482517482518,4.662004662004662,1.864801864801865,1.864801864801865,0.9324009324009324,0.0,37,-1.200000000000001
Jesper Boqvist,FLA,20242025,93.366666666667,C,16.2,3.7,5.500892538379131,7.068903962870378,0.0,0.0,0.0,0.6426276329882162,38,-12.5
Nick Seeler,PHI,20242025,116.1,D,16.2,2.3,5.974160206718347,8.2687338501292,0.0,0.0,0.0,0.0,39,-13.899999999999999
Parker Wotherspoon,BOS,20242025,70.116666666667,D,16.1,19.6,7.923936296648405,3.4228666508200454,0.0,0.0,0.0,0.0,40,3.5
Brett Kulak,EDM,20242025,135.8,D,16.1,10.0,6.030927835051545,7.06921944035346,0.0,0.0,0.0,0.0,41,-6.100000000000001
