player,birth_date
Esa Lindell,1994-05-23
Mike Matheson,1994-02-27
Mario Ferraro,1998-09-17
Jani Hakanpää,
Gustav Forsling,1996-06-12
Vladislav Gavrikov,1995-11-21
Andrew Peeke,1998-03-17
Cam Fowler,1991-12-05
Jake Evans,2005-03-27
Travis Sanheim,1996-03-29
Devon Toews,1994-02-21
Jake Sanderson,2005-03-27
Jacob Trouba,1994-02-26
Ivan Provorov,2002-08-20
Jaccob Slavin,1994-05-01
Brian Dumoulin,1991-09-06
Travis Hamonic,1990-08-16
Miro Heiskanen,1999-07-18
Patrik Nemeth,1998-04-19
Mattias Ekholm,1990-05-24
Jamie Oleksiak,1992-12-21
Martin Fehervary,1999-10-06
Ian Cole,1989-02-21
Brock Faber,2002-08-22
Nick Holden,2000-05-29
Mikey Anderson,1999-05-25
J.J. Moser,2000-06-06
Darnell Nurse,1995-02-04
Justin Holl,1992-01-30
Simon Benoit,1998-09-19
Colton Sissons,1993-11-05
Christopher Tanev,2005-03-06
Cody Ceci,1993-12-21
Adam Larsson,1992-11-12
Jared Spurgeon,1989-11-29
Brady Skjei,1994-03-26
David Savard,2006-12-07
Alex Vlasic,2001-06-05
Matt Roy,1995-03-01
Brent Burns,1985-03-09
Derek Forbort,1992-03-04
Colton Parayko,1993-05-12
Erik Gudbranson,1992-01-07
Martin Fehérváry,1999-10-06
Brandon Carlo,1992-10-27
Kevin Stenlund,2006-04-30
Artem Zub,1995-10-03
Jake McCabe,1993-10-12
Mikhail Sergachev,1998-06-25
Scott Mayfield,1992-10-14
Nick Perbix,1998-06-15
Lawson Crouse,1997-06-23
Mattias Samuelsson,2000-03-14
John Marino,1997-05-21
John Carlson,1990-01-10
Ryan McDonagh,1989-06-13
Sean Kuraly,1993-01-20
Jakob Silfverberg,2001-03-07
Matthew Benning,2000-06-23
Alexandre Carrier,1996-10-08
Marcus Pettersson,1996-05-08
Brandon Tanev,1992-10-27
Nick Leddy,1991-03-20
Ben Chiarot,1991-05-09
MacKenzie Weegar,1994-01-07
Brenden Dillon,1990-11-13
Anton Stralman,2004-06-10
Eetu Luostarinen,1998-09-02
Nick Jensen,1990-09-21
Connor Murphy,1993-03-26
David Kampf,1995-01-12
Beck Malenstyn,1998-02-04
Connor Dewar,1999-06-26
Ryan Lindgren,1998-02-11
Tanner Jeannot,1997-05-29
Marc Staal,1999-07-22
Nic Dowd,1990-05-27
Kris Letang,1987-04-24
Dylan DeMelo,1993-05-01
Alex Kerfoot,1997-12-18
Joel Armia,1993-05-31
Moritz Seider,2001-04-06
Marc-Edouard Vlasic,1999-07-22
TJ Brodie,2001-11-09
Charlie Coyle,1992-03-02
Erik Cernak,1997-05-28
Collin Graf,2002-09-21
Joel Edmundson,1991-06-08
Damon Severson,1994-08-07
Jan Rutta,2007-01-09
Cam York,2001-01-05
Alexander Romanov,2000-01-06
Ryan Pulock,1994-10-06
Nikita Zadorov,2003-05-02
Adam Pelech,1994-08-16
Ilya Mikheyev,1994-10-10
Mathew Dumba,1997-05-26
Alexander Kerfoot,1994-08-11
Philip Broberg,2001-06-25
Johnathan Kovacevic,1997-07-12
Pierre-Edouard Bellemare,1996-05-31
Andrew Copp,1994-07-08
Aaron Ekblad,1996-02-07
Radko Gudas,1990-06-05
Dmitry Kulikov,1990-10-29
Connor Clifton,1995-04-28
Ilya Lyubushkin,1994-04-06
Logan Couture,1998-03-05
Tyler Myers,1990-02-01
Alex Pietrangelo,1990-01-18
Dysin Mayo,1996-08-17
Rasmus Andersson,1996-10-27
Mikael Backlund,1989-03-17
Niko Mikkola,1996-04-27
Ryan McLeod,1999-09-21
Isac Lundestrom,1999-11-06
Alex Wennberg,1997-12-18
Victor Hedman,1990-12-18
Brett Pesce,1994-11-15
Cale Makar,1998-10-30
Alex Killorn,1989-09-14
Erik Johnson,1992-03-14
Jordan Greenway,1997-02-16
Kevin Bahl,2006-04-30
Trevor van Riemsdyk,1991-07-24
Jordan Staal,1988-09-10
Brayden McNabb,1991-01-21
Braden Schneider,2001-09-20
Josh Brown,1994-05-07
Janis Moser,2000-06-06
Claude Giroux,1988-01-12
Jeremy Lauzon,1997-04-28
Ryan Graves,1995-05-21
Drew Doughty,1989-12-08
Sam Gagner,1999-07-28
Noah Hanifin,1997-01-25
Alex Tuch,1996-05-10
Brandon Duhaime,1992-10-27
Charlie McAvoy,1997-12-21
Adam Lowry,1993-03-29
